project,owner,repo,sha,url,sloc,stars,age_years,commit_count,stmt_cov_pct,branch_cov_pct,notes
Building-Transparency-ECHO-schema,Building-Transparency,ECHO-schema,7b4305da746a7fd4f550fa2c7c8715d81cd442d4,https://github.com/Building-Transparency/ECHO-schema.git,8164,2,1.3,20,23.8,11.5,
CMakePP-CMinx,CMakePP,CMinx,32f8157004386c968d533eb79b1fc8516d20fcd5,https://github.com/CMakePP/CMinx.git,4709,15,6.4,213,24.3,13.4,
CUNY-CL-citylex,CUNY-CL,citylex,09539b8,https://github.com/CUNY-CL/citylex.git,1182,18,6.5,167,22.6,13.1,
CausalInferenceLab-Lang2SQL,CausalInferenceLab,Lang2SQL,717bfb162ddcdc9238f3f390c8851f7a6d8be428,https://github.com/CausalInferenceLab/Lang2SQL.git,7563,86,0.9,187,22.8,10.8,
ChapSpace-CourseConstrainSolverBackend,ChapSpace,CourseConstrainSolverBackend,6917506,https://github.com/ChapSpace/CourseConstrainSolverBackend.git,,,,,,,clone_failed
ChristopherJohnston-motu_datastore_client,ChristopherJohnston,motu_datastore_client,ed8c428c49e69666b60edfbea6fea245ea9e3b0d,https://github.com/ChristopherJohnston/motu_datastore_client.git,328,1,1.3,3,23.8,11.9,
City-of-Helsinki-django-orghierarchy,City-of-Helsinki,django-orghierarchy,8f3fa46,https://github.com/City-of-Helsinki/django-orghierarchy.git,3801,13,8.2,173,98.8,91.4,
CloudHeads-serverless_exceptions,CloudHeads,serverless_exceptions,109c61d88792e50e432f9fc64de4cb372fc52df7,https://github.com/CloudHeads/serverless_exceptions.git,964,1,9.2,41,22.4,12.5,
Code-Society-Lab-grace,Code-Society-Lab,grace,fc55da42f99cf5e3bc88f90f876660ff07eb24de,https://github.com/Code-Society-Lab/grace.git,3442,19,4.6,1016,24.6,12.6,
CodeAndCandlesticks-py-schwab-wrapper,CodeAndCandlesticks,py-schwab-wrapper,35079a4,https://github.com/CodeAndCandlesticks/py-schwab-wrapper.git,83793,1,1.5,23,24.1,12.9,
CommunityDragon-CDTB,CommunityDragon,CDTB,6e3482af62e7358fad069b12278a3b0244884d4d,https://github.com/CommunityDragon/CDTB.git,4479,135,8.2,840,23.7,10.8,
CultCornholio-RedTeamTP,CultCornholio,RedTeamTP,63261bffacbfea32b03769bb10f4923ffa4caf7e,https://github.com/CultCornholio/RedTeamTP.git,2424,86,0.7,11,23.6,13.7,
DAI-Lab-RivaGAN,DAI-Lab,RivaGAN,efffa72a4ca46d4d5051f6970c96424c2cdab441,https://github.com/DAI-Lab/RivaGAN.git,1257,311,7.0,5,22.5,12.6,
DCZYewen-Python-Silk-Module,DCZYewen,Python-Silk-Module,7fe9a0aea4a34e4917ef2b2314f1df4c42d3b3f3,https://github.com/DCZYewen/Python-Silk-Module.git,16318,28,4.4,125,23.8,11.8,
DIG-Kaust-pymarchenko,DIG-Kaust,pymarchenko,2b5ebbda5b7e039e03e3ad13734f91f22b7205a4,https://github.com/DIG-Kaust/pymarchenko.git,6483,25,4.6,55,24.5,13.2,
DJLemkes-dbt-diagrams,DJLemkes,dbt-diagrams,ff541964f118dad2b7d95fc77bb2b6432d4c34d7,https://github.com/DJLemkes/dbt-diagrams.git,1537,28,2.7,29,22.6,11.8,coverage_failed
DLR-AE-PanelAero,DLR-AE,PanelAero,fe1e08456c5bd164badacdcde11074ea9d4e5c68,https://github.com/DLR-AE/PanelAero.git,1312,42,3.3,153,23.9,13.5,
DevCloudNinjas-django-multitenant-saas-ecommerce,DevCloudNinjas,django-multitenant-saas-ecommerce,a5ee81d,https://github.com/DevCloudNinjas/django-multitenant-saas-ecommerce.git,30736,1,1.3,16,24.1,11.0,
DocNow-twarc-network,DocNow,twarc-network,5f1118ab14a9b66803988bcb6b6a08af8cd0632c,https://github.com/DocNow/twarc-network.git,599,19,4.6,54,22.1,10.5,
EDCD-EDMarketConnector,EDCD,EDMarketConnector,11d4c0cca1b8a333e8b54b47e8100b85561063ea,https://github.com/EDCD/EDMarketConnector.git,26084,1233,10.6,6164,,,coverage_failed;coverage_failed
EFRAG-EU-Digital-Template-to-XBRL-Converter,EFRAG-EU,Digital-Template-to-XBRL-Converter,92493146ba9c057e8c6a2047da5786c25d4f4aab,https://github.com/EFRAG-EU/Digital-Template-to-XBRL-Converter.git,49941,24,0.7,25,23.3,11.3,
EandrewJones-tornado_template,EandrewJones,tornado_template,bcf475d,https://github.com/EandrewJones/tornado_template.git,286,1,3.2,9,22.3,12.8,
EigenPro-EigenPro,EigenPro,EigenPro,da9c07020a699ab96756f7aad092191d9aeec783,https://github.com/EigenPro/EigenPro.git,1116,8,2.0,289,22.1,13.3,tests_failed;coverage_failed
ElasticEmail-elasticemail-python,ElasticEmail,elasticemail-python,533ab5a06e3bac64138db6f3ecf61676730ff604,https://github.com/ElasticEmail/elasticemail-python.git,33984,9,4.7,34,27.6,10.9,
